Date,Open,High,Low,Close
1-January-2015,27485.77,27545.61,27395.34,27507.54
2-January-2015,27521.28,27937.47,27519.26,27887.90
5-January-2015,27978.43,28064.49,27786.85,27842.32
6-January-2015,27694.23,27698.93,26937.06,26987.46
7-January-2015,26983.43,27051.60,26776.12,26908.82
8-January-2015,27178.77,27316.41,27101.94,27274.71
9-January-2015,27404.19,27507.67,27119.63,27458.38
12-January-2015,27523.86,27620.66,27323.74,27585.27
13-January-2015,27611.56,27670.19,27324.58,27425.73
14-January-2015,27432.14,27512.80,27203.25,27346.82
15-January-2015,27831.16,28194.61,27703.70,28075.58
16-January-2015,28056.61,28176.10,27945.31,28121.89
19-January-2015,28249.84,28334.06,28197.36,28262.01
20-January-2015,28324.85,28829.29,28324.85,28784.67
21-January-2015,28843.09,28958.10,28792.57,28888.86
22-January-2015,28957.79,29060.41,28892.23,29006.02
23-January-2015,29189.45,29408.73,29165.56,29278.84
27-January-2015,29451.65,29618.59,29286.09,29571.04
28-January-2015,29565.72,29786.32,29417.67,29559.18
29-January-2015,29516.49,29740.63,29378.30,29681.77
30-January-2015,29801.60,29844.16,29070.48,29182.95
2-February-2015,29143.63,29268.13,28958.52,29122.27
3-February-2015,29217.40,29253.06,28900.41,29000.14
4-February-2015,29129.85,29133.62,28824.68,28883.11
